income_code,age_range,gender,ethnicity,education,population
G,55_64,female,asian,< Than HS Diploma,1199
H,55_64,male,white,Bachelor Degree,225346
F,45_54,female,hispanic,Some College,49914
D,25_34,male,white,Bachelor Degree,227586
L,25_34,male,asian,Some College,20462
C,85_120,female,asian,Graduate Degree,1815
C,25_34,male,islander,Bachelor Degree,88
G,18_24,female,white,HS Diploma,96668
F,18_24,female,asian,Some College,21043
J,35_44,female,asian,Graduate Degree,14727
B,25_34,male,hispanic,Bachelor Degree,5650
D,75_84,male,asian,HS Diploma,12870
A,65_74,male,hispanic,Bachelor Degree,2119
B,55_64,female,islander,Some College,211
K,45_54,male,white,Some College,151972
D,45_54,female,white,HS Diploma,465076
F,25_34,male,white,< Than HS Diploma,249379
F,25_34,female,black,Bachelor Degree,78439
E,45_54,male,black,Graduate Degree,45014
D,35_44,female,asian,HS Diploma,15906
D,85_120,female,hispanic,Bachelor Degree,2132
L,65_74,male,white,HS Diploma,38782
F,45_54,male,hispanic,Some College,58819
F,85_120,female,white,Some College,77506
A,45_54,male,asian,HS Diploma,12903
H,85_120,male,white,< Than HS Diploma,8142
A,18_24,male,hispanic,HS Diploma,20192
F,65_74,male,hispanic,Some College,14073
C,55_64,female,asian,Some College,6230
G,75_84,male,islander,Some College,81
A,65_74,female,black,HS Diploma,130357
B,35_44,female,black,Bachelor Degree,59809
C,55_64,female,hispanic,Graduate Degree,7766
B,55_64,female,black,Bachelor Degree,26081
G,75_84,male,black,< Than HS Diploma,6626
A,35_44,female,asian,Some College,14975
K,25_34,male,asian,< Than HS Diploma,834
K,85_120,female,islander,HS Diploma,9
L,25_34,female,hispanic,Bachelor Degree,13466
B,18_24,male,hispanic,HS Diploma,13633
U,65_74,male,white,Graduate Degree,2
E,65_74,female,white,Some College,458858
C,85_120,male,black,< Than HS Diploma,27194
J,45_54,female,black,< Than HS Diploma,2200
I,35_44,male,islander,HS Diploma,51
A,35_44,male,hispanic,Some College,25049
L,65_74,male,black,Bachelor Degree,4880
K,65_74,female,hispanic,Graduate Degree,1976
F,55_64,male,white,HS Diploma,753086
A,35_44,male,asian,Some College,14115
B,85_120,female,white,< Than HS Diploma,250133
H,45_54,female,white,Some College,424002
J,55_64,female,white,Bachelor Degree,159018
B,25_34,female,islander,HS Diploma,1113
F,65_74,male,white,Graduate Degree,284746
A,55_64,male,white,HS Diploma,390570
E,65_74,female,black,Bachelor Degree,48235
G,75_84,female,hispanic,< Than HS Diploma,14828
J,45_54,female,hispanic,Bachelor Degree,10078
H,45_54,male,asian,Bachelor Degree,60300
D,45_54,male,white,Graduate Degree,85272
C,35_44,male,asian,Graduate Degree,7735
C,75_84,female,hispanic,Some College,8087
J,25_34,male,islander,HS Diploma,136
K,85_120,male,hispanic,Graduate Degree,392
E,65_74,male,white,Some College,489526
E,18_24,female,hispanic,HS Diploma,49280
B,18_24,female,hispanic,< Than HS Diploma,155047
F,75_84,female,black,Graduate Degree,6147
K,65_74,female,islander,Some College,18
F,55_64,female,hispanic,HS Diploma,107580
I,85_120,male,black,Some College,752
F,45_54,male,islander,Bachelor Degree,156
L,55_64,male,islander,HS Diploma,86
C,18_24,male,asian,Some College,8895
G,45_54,male,islander,Bachelor Degree,95
I,85_120,male,islander,Bachelor Degree,2
F,35_44,male,black,Bachelor Degree,80971
A,65_74,female,black,< Than HS Diploma,88040
G,45_54,female,asian,Bachelor Degree,28380
B,75_84,male,black,HS Diploma,44090
B,35_44,male,black,HS Diploma,30824
G,25_34,female,black,HS Diploma,66510
G,65_74,female,black,< Than HS Diploma,4954
F,45_54,male,black,Some College,123075
L,55_64,female,asian,Bachelor Degree,21252
G,65_74,male,white,Bachelor Degree,238291
K,18_24,female,hispanic,Bachelor Degree,909
H,75_84,female,hispanic,Graduate Degree,1613
C,25_34,female,islander,Bachelor Degree,183
L,45_54,male,islander,HS Diploma,73
G,55_64,female,islander,< Than HS Diploma,18
H,65_74,male,black,Graduate Degree,4347
G,25_34,male,asian,Graduate Degree,65732
J,45_54,male,asian,< Than HS Diploma,1115
E,85_120,female,islander,Some College,42
D,35_44,male,hispanic,Graduate Degree,13781
H,75_84,female,asian,Graduate Degree,1707
I,65_74,female,islander,Bachelor Degree,33
A,55_64,female,hispanic,HS Diploma,74666
A,25_34,female,hispanic,< Than HS Diploma,496868
L,25_34,female,white,HS Diploma,85065
E,75_84,male,asian,Some College,8831
H,55_64,male,asian,Some College,13024
H,25_34,male,asian,Graduate Degree,37105
K,55_64,male,islander,Bachelor Degree,57
B,18_24,female,islander,Graduate Degree,18
U,85_120,female,asian,Some College,2
E,85_120,female,white,HS Diploma,224844
A,45_54,male,black,HS Diploma,129402
B,75_84,male,asian,Some College,2715
H,65_74,male,white,Graduate Degree,70888
C,18_24,female,hispanic,< Than HS Diploma,121242
L,18_24,male,black,Bachelor Degree,3672
G,65_74,male,white,Graduate Degree,225073
E,25_34,female,hispanic,< Than HS Diploma,390256
I,65_74,female,black,HS Diploma,6497
I,18_24,female,black,Graduate Degree,2902
B,35_44,male,asian,HS Diploma,8965
C,25_34,male,black,Graduate Degree,29121
I,55_64,female,hispanic,HS Diploma,13996
C,45_54,male,hispanic,Bachelor Degree,3210
H,85_120,female,asian,Some College,900
F,75_84,female,hispanic,Some College,4367
K,85_120,male,black,Bachelor Degree,425
A,65_74,female,islander,Graduate Degree,40
I,45_54,female,white,< Than HS Diploma,9649
H,55_64,male,asian,HS Diploma,9042
B,55_64,male,hispanic,Some College,8483
L,45_54,male,hispanic,Bachelor Degree,8021
G,75_84,male,hispanic,HS Diploma,4123
H,65_74,female,asian,HS Diploma,3186
G,25_34,female,asian,HS Diploma,24332
B,35_44,male,white,< Than HS Diploma,50666
D,35_44,female,asian,Some College,23100
H,55_64,male,asian,Graduate Degree,21351
L,75_84,female,hispanic,HS Diploma,2541
I,85_120,female,asian,HS Diploma,858
I,85_120,female,hispanic,Bachelor Degree,334
C,45_54,female,islander,Some College,284
F,25_34,male,islander,< Than HS Diploma,178
D,35_44,female,hispanic,Bachelor Degree,29951
L,25_34,male,asian,Bachelor Degree,67813
F,55_64,female,islander,HS Diploma,532
C,85_120,female,black,Graduate Degree,5258
K,18_24,female,asian,Graduate Degree,1982
E,85_120,female,islander,Bachelor Degree,13
I,18_24,female,islander,HS Diploma,59
D,18_24,male,hispanic,Graduate Degree,4052
C,65_74,male,white,Graduate Degree,63521
E,25_34,male,white,Graduate Degree,600026
H,55_64,female,black,Graduate Degree,11620
B,45_54,female,islander,< Than HS Diploma,51
K,18_24,male,islander,Bachelor Degree,18
G,45_54,male,black,Graduate Degree,17710
G,45_54,male,black,Bachelor Degree,21380
K,65_74,male,hispanic,HS Diploma,2924
B,45_54,male,islander,HS Diploma,123
C,65_74,male,hispanic,Graduate Degree,3021
H,55_64,male,asian,< Than HS Diploma,1738
L,75_84,male,islander,Some College,35
A,65_74,female,black,Graduate Degree,11587
C,18_24,female,islander,Some College,405
B,35_44,female,islander,Some College,451
F,45_54,female,black,< Than HS Diploma,11609
F,25_34,female,asian,Bachelor Degree,92728
J,85_120,female,white,< Than HS Diploma,6813
F,65_74,female,hispanic,Graduate Degree,10727
K,35_44,female,white,< Than HS Diploma,5991
K,25_34,male,islander,Some College,189
G,25_34,male,islander,Some College,1214
K,75_84,female,islander,HS Diploma,29
J,25_34,male,white,Graduate Degree,124760
F,45_54,female,white,Bachelor Degree,361693
C,45_54,male,white,< Than HS Diploma,50915
B,35_44,male,asian,Bachelor Degree,9018
E,65_74,male,islander,Bachelor Degree,121
E,35_44,female,asian,Some College,36487
E,35_44,male,white,< Than HS Diploma,195026
K,45_54,male,white,Graduate Degree,169048
L,85_120,female,black,Bachelor Degree,1371
F,18_24,male,white,< Than HS Diploma,50723
H,75_84,male,hispanic,Some College,1245
F,75_84,female,asian,HS Diploma,5984
J,85_120,female,asian,Some College,759
E,65_74,male,white,HS Diploma,999064
E,18_24,male,hispanic,< Than HS Diploma,79537
A,65_74,female,hispanic,Some College,7091
D,45_54,male,islander,< Than HS Diploma,22
L,45_54,male,black,Bachelor Degree,13746
H,65_74,male,white,< Than HS Diploma,17098
I,18_24,male,hispanic,Bachelor Degree,620
A,75_84,female,hispanic,Bachelor Degree,3351
L,25_34,male,black,Graduate Degree,17842
L,45_54,female,hispanic,Some College,16458
F,25_34,female,white,Graduate Degree,364324
G,45_54,female,white,Graduate Degree,119937
D,25_34,male,white,HS Diploma,517814
B,65_74,female,black,Bachelor Degree,17692
C,45_54,female,black,Graduate Degree,13572
H,85_120,female,white,Graduate Degree,10914
J,85_120,male,black,< Than HS Diploma,680
G,85_120,female,black,< Than HS Diploma,3186
I,25_34,male,black,Bachelor Degree,12157
C,85_120,male,hispanic,Graduate Degree,1848
H,25_34,male,islander,HS Diploma,257
B,55_64,female,islander,Bachelor Degree,48
I,65_74,female,asian,Bachelor Degree,8463
C,85_120,male,hispanic,HS Diploma,7660
K,35_44,male,hispanic,< Than HS Diploma,7256
H,18_24,female,islander,Graduate Degree,15
A,75_84,male,white,Bachelor Degree,48321
F,75_84,male,asian,Graduate Degree,9385
H,85_120,male,asian,Bachelor Degree,1564
L,85_120,female,white,Bachelor Degree,41323
G,65_74,female,hispanic,HS Diploma,17895
I,55_64,female,asian,Graduate Degree,5247
D,85_120,female,asian,Graduate Degree,1879
A,25_34,male,islander,Some College,486
F,45_54,male,white,HS Diploma,471638
C,65_74,female,black,HS Diploma,134563
E,75_84,female,black,Graduate Degree,9357
A,35_44,male,asian,Graduate Degree,10089
K,55_64,female,black,Graduate Degree,5117
I,75_84,male,islander,Bachelor Degree,9
G,65_74,female,white,< Than HS Diploma,32373
L,18_24,male,black,HS Diploma,2959
F,45_54,male,white,Graduate Degree,227601
E,85_120,male,white,Graduate Degree,90103
G,75_84,female,white,< Than HS Diploma,33374
J,75_84,female,hispanic,< Than HS Diploma,5181
K,85_120,male,islander,Bachelor Degree,4
F,35_44,male,asian,Bachelor Degree,91102
H,45_54,female,black,< Than HS Diploma,5372
K,85_120,female,asian,Bachelor Degree,1646
L,35_44,male,islander,Graduate Degree,55
J,45_54,male,white,Bachelor Degree,184778
G,18_24,male,white,Graduate Degree,51671
L,55_64,female,black,HS Diploma,7097
D,75_84,male,asian,Some College,7051
I,18_24,female,black,< Than HS Diploma,2009
H,18_24,male,black,< Than HS Diploma,2801
I,65_74,female,asian,Some College,2090
F,75_84,male,islander,Some College,117
B,75_84,female,islander,Some College,106
K,45_54,male,islander,Some College,152
A,75_84,female,white,Some College,162512
K,75_84,male,white,Graduate Degree,38216
C,35_44,female,white,< Than HS Diploma,57983
I,35_44,male,white,Graduate Degree,42636
J,65_74,male,hispanic,< Than HS Diploma,3313
H,25_34,female,black,Graduate Degree,17448
U,45_54,male,white,HS Diploma,4
A,45_54,male,white,Graduate Degree,45327
H,55_64,female,hispanic,< Than HS Diploma,33255
F,75_84,female,hispanic,Bachelor Degree,3388
H,55_64,female,islander,Some College,273
U,45_54,female,white,Some College,7
G,45_54,male,hispanic,< Than HS Diploma,36045
J,65_74,male,white,HS Diploma,18154
D,25_34,female,asian,Graduate Degree,24477
C,35_44,female,islander,HS Diploma,297
K,45_54,male,islander,< Than HS Diploma,2
A,25_34,female,hispanic,Graduate Degree,23740
G,75_84,female,black,HS Diploma,11141
A,18_24,female,black,HS Diploma,163504
D,35_44,male,black,Graduate Degree,18394
G,35_44,female,hispanic,Graduate Degree,14322
F,85_120,female,islander,Some College,29
G,18_24,male,white,Bachelor Degree,61138
E,35_44,male,hispanic,Graduate Degree,30725
K,65_74,female,white,HS Diploma,25487
G,85_120,female,hispanic,HS Diploma,1943
A,35_44,female,islander,HS Diploma,550
F,85_120,female,white,Bachelor Degree,51165
L,25_34,male,hispanic,< Than HS Diploma,51203
D,75_84,female,islander,Graduate Degree,57
K,18_24,female,islander,Graduate Degree,7
L,65_74,female,islander,Some College,29
E,18_24,male,white,HS Diploma,189849
L,75_84,male,black,HS Diploma,1846
H,25_34,female,black,< Than HS Diploma,8466
F,35_44,male,islander,Bachelor Degree,530
B,25_34,female,islander,< Than HS Diploma,330
A,55_64,female,hispanic,< Than HS Diploma,194401
D,85_120,female,white,Graduate Degree,71234
I,85_120,female,white,< Than HS Diploma,9203
D,75_84,female,black,Graduate Degree,12687
G,35_44,female,black,< Than HS Diploma,5861
J,65_74,female,hispanic,Graduate Degree,1494
C,35_44,female,asian,Bachelor Degree,15305
U,55_64,male,white,Some College,2
K,35_44,female,black,Some College,10351
L,65_74,male,asian,Bachelor Degree,9990
H,35_44,male,asian,Some College,29597
D,65_74,male,hispanic,Some College,16511
B,35_44,male,hispanic,Some College,19204
E,18_24,male,islander,HS Diploma,273
B,55_64,female,hispanic,Graduate Degree,6899
J,18_24,female,asian,HS Diploma,1828
D,65_74,female,islander,Bachelor Degree,139
B,35_44,female,islander,Bachelor Degree,205
F,35_44,female,islander,Graduate Degree,161
D,75_84,male,hispanic,< Than HS Diploma,77398
G,75_84,female,white,HS Diploma,121271
F,25_34,female,hispanic,Bachelor Degree,34472
I,18_24,male,white,Bachelor Degree,23016
L,65_74,female,asian,< Than HS Diploma,317
I,85_120,male,hispanic,Graduate Degree,612
I,18_24,male,islander,Bachelor Degree,22
F,65_74,female,white,HS Diploma,479164
F,18_24,female,hispanic,HS Diploma,33673
E,35_44,female,hispanic,< Than HS Diploma,111034
H,35_44,male,black,HS Diploma,11436
L,45_54,male,asian,HS Diploma,5628
I,85_120,female,asian,Graduate Degree,565
H,65_74,male,asian,< Than HS Diploma,1054
G,18_24,female,islander,HS Diploma,132
L,55_64,male,hispanic,Bachelor Degree,6255
E,75_84,male,asian,Bachelor Degree,16298
B,65_74,female,asian,< Than HS Diploma,3573
K,65_74,male,black,Bachelor Degree,3007
C,25_34,male,asian,Some College,21331
C,65_74,female,islander,Bachelor Degree,40
A,85_120,female,white,HS Diploma,292959
A,35_44,male,asian,Bachelor Degree,14799
U,55_64,male,hispanic,Some College,2
G,65_74,female,white,Some College,195998
E,35_44,male,hispanic,Some College,112605
F,35_44,male,black,Some College,102038
B,18_24,male,black,< Than HS Diploma,21644
J,45_54,male,white,< Than HS Diploma,14802
A,45_54,male,asian,Bachelor Degree,7187
H,35_44,female,islander,HS Diploma,222
G,45_54,female,islander,Graduate Degree,57
F,18_24,male,islander,Bachelor Degree,70
K,55_64,male,asian,Graduate Degree,20328
H,45_54,female,hispanic,Bachelor Degree,20731
C,65_74,male,asian,< Than HS Diploma,3540
E,85_120,female,asian,HS Diploma,4534
L,18_24,male,asian,< Than HS Diploma,293
H,18_24,female,hispanic,< Than HS Diploma,17569
D,85_120,female,asian,Some College,3991
F,55_64,male,islander,Bachelor Degree,163
I,35_44,male,islander,Graduate Degree,11
J,25_34,male,hispanic,Some College,21041
B,45_54,male,white,Graduate Degree,32938
E,25_34,male,white,< Than HS Diploma,405066
L,55_64,male,hispanic,Some College,12353
L,45_54,female,hispanic,Bachelor Degree,9825
C,55_64,female,hispanic,HS Diploma,86416
E,85_120,male,hispanic,< Than HS Diploma,18291
K,55_64,female,islander,Bachelor Degree,44
C,85_120,male,white,Some College,101963
G,35_44,female,white,Graduate Degree,126819
C,75_84,male,asian,Graduate Degree,5922
C,75_84,male,black,Graduate Degree,10199
J,55_64,male,islander,HS Diploma,106
D,18_24,male,black,HS Diploma,34390
C,55_64,male,white,Graduate Degree,55029
B,65_74,male,islander,< Than HS Diploma,35
G,35_44,male,islander,Bachelor Degree,334
I,45_54,male,islander,Graduate Degree,24
C,25_34,male,hispanic,Graduate Degree,15686
K,25_34,female,black,HS Diploma,5170
J,35_44,male,islander,< Than HS Diploma,7
L,45_54,male,white,Bachelor Degree,249539
D,45_54,female,black,< Than HS Diploma,20618
K,45_54,male,asian,HS Diploma,3320
G,25_34,male,islander,< Than HS Diploma,147
A,85_120,male,white,< Than HS Diploma,95511
I,65_74,male,white,Bachelor Degree,74052
C,45_54,female,white,< Than HS Diploma,47870
J,55_64,female,white,Some College,121117
D,75_84,female,black,HS Diploma,68592
E,75_84,female,asian,Some College,7297
A,18_24,female,hispanic,< Than HS Diploma,150918
C,25_34,male,islander,Graduate Degree,121
F,65_74,female,islander,Graduate Degree,53
B,45_54,male,white,< Than HS Diploma,46570
I,35_44,male,hispanic,Bachelor Degree,10762
K,75_84,male,islander,HS Diploma,18
F,85_120,male,white,Some College,70147
B,45_54,male,white,HS Diploma,202114
K,25_34,female,white,Some College,126357
L,25_34,female,hispanic,HS Diploma,36177
L,55_64,female,black,Some College,7610
C,85_120,female,islander,< Than HS Diploma,77
E,25_34,male,islander,Graduate Degree,473
U,35_44,male,hispanic,< Than HS Diploma,2
L,85_120,female,white,HS Diploma,21523
G,25_34,female,hispanic,Bachelor Degree,25406
L,35_44,female,black,< Than HS Diploma,832
G,45_54,female,islander,< Than HS Diploma,35
D,25_34,female,asian,Bachelor Degree,50081
A,25_34,male,islander,Bachelor Degree,106
I,25_34,male,white,Some College,213693
C,75_84,female,hispanic,< Than HS Diploma,95280
J,85_120,female,asian,Bachelor Degree,1918
I,35_44,male,white,HS Diploma,40550
B,45_54,female,black,< Than HS Diploma,50514
L,18_24,male,islander,Some College,150
I,65_74,male,asian,Graduate Degree,6717
L,45_54,female,asian,HS Diploma,4682
C,75_84,female,islander,< Than HS Diploma,158
I,75_84,female,islander,HS Diploma,75
L,65_74,male,islander,Graduate Degree,40
U,35_44,female,hispanic,Bachelor Degree,2
E,35_44,female,white,HS Diploma,457175
C,75_84,male,white,< Than HS Diploma,223997
J,25_34,male,hispanic,Graduate Degree,16080
L,85_120,female,white,Some College,28644
A,35_44,female,white,Some College,317728
L,75_84,female,hispanic,< Than HS Diploma,5381
L,18_24,female,black,Graduate Degree,2180
F,55_64,female,white,HS Diploma,700350
D,65_74,male,hispanic,HS Diploma,54729
C,18_24,male,hispanic,< Than HS Diploma,64808
H,25_34,male,hispanic,Bachelor Degree,11365
I,35_44,female,black,HS Diploma,6455
K,25_34,female,black,< Than HS Diploma,986
K,85_120,male,islander,HS Diploma,2
B,45_54,female,white,Graduate Degree,47324
F,55_64,female,hispanic,Graduate Degree,22722
L,65_74,female,black,Graduate Degree,2779
E,45_54,male,islander,Bachelor Degree,110
A,45_54,male,islander,Graduate Degree,20
C,65_74,female,hispanic,Some College,11636
H,25_34,male,islander,Graduate Degree,158
F,85_120,male,hispanic,< Than HS Diploma,8963
A,18_24,male,black,Graduate Degree,9484
L,25_34,female,islander,< Than HS Diploma,18
D,75_84,male,black,Graduate Degree,17780
D,55_64,female,hispanic,Some College,37294
C,75_84,male,black,Some College,17230
E,85_120,female,hispanic,Bachelor Degree,1657
C,25_34,male,asian,Bachelor Degree,16685
B,18_24,female,asian,Bachelor Degree,4765
J,85_120,male,hispanic,Graduate Degree,535
F,55_64,female,islander,< Than HS Diploma,44
E,35_44,male,asian,Graduate Degree,34419
A,35_44,female,hispanic,Some College,41314
K,55_64,male,white,Graduate Degree,157826
A,85_120,female,black,HS Diploma,54344
C,45_54,female,black,< Than HS Diploma,28046
L,55_64,female,black,< Than HS Diploma,977
K,55_64,male,islander,Some College,66
D,65_74,male,white,< Than HS Diploma,174385
C,85_120,male,hispanic,< Than HS Diploma,37411
K,18_24,male,islander,< Than HS Diploma,4
B,45_54,male,white,Bachelor Degree,34949
F,35_44,female,hispanic,Some College,90083
E,18_24,male,white,Graduate Degree,81110
B,25_34,male,white,Graduate Degree,97152
B,25_34,male,black,Graduate Degree,22552
C,65_74,female,white,Graduate Degree,65080
A,85_120,male,islander,Graduate Degree,15
U,35_44,male,hispanic,Bachelor Degree,4
G,55_64,female,white,Graduate Degree,175815
B,85_120,female,white,HS Diploma,566278
G,45_54,male,black,Some College,47674
G,55_64,female,black,Graduate Degree,16177
G,18_24,male,black,< Than HS Diploma,5826
B,18_24,male,islander,HS Diploma,62
J,75_84,male,asian,< Than HS Diploma,642
H,25_34,female,islander,< Than HS Diploma,64
F,65_74,female,black,HS Diploma,53979
C,85_120,female,white,Some College,149239
J,55_64,female,black,HS Diploma,14542
A,35_44,female,asian,HS Diploma,16947
H,85_120,female,white,Bachelor Degree,19391
D,75_84,male,islander,Graduate Degree,84
U,55_64,male,black,Some College,2
G,18_24,female,hispanic,HS Diploma,20711
A,45_54,female,white,Graduate Degree,50910
B,45_54,male,black,Some College,41228
H,35_44,male,islander,HS Diploma,108
E,55_64,female,white,HS Diploma,1114914
I,65_74,female,black,Graduate Degree,3104
K,55_64,male,asian,HS Diploma,2365
D,85_120,male,islander,< Than HS Diploma,33
I,75_84,female,islander,Bachelor Degree,15
I,55_64,female,white,HS Diploma,71091
K,65_74,male,hispanic,Graduate Degree,2842
B,55_64,female,asian,Bachelor Degree,6494
F,25_34,male,black,< Than HS Diploma,38355
F,35_44,female,islander,HS Diploma,444
K,85_120,female,islander,Some College,9
A,35_44,female,white,Bachelor Degree,168483
H,65_74,male,white,Some College,66682
G,25_34,male,asian,Some College,58111
G,35_44,male,hispanic,Bachelor Degree,28840
D,55_64,male,islander,Graduate Degree,55
K,85_120,male,black,< Than HS Diploma,174
B,65_74,female,asian,Graduate Degree,1971
E,75_84,male,white,Graduate Degree,219875
K,65_74,female,white,Some College,35858
H,75_84,female,islander,< Than HS Diploma,22
E,55_64,male,hispanic,Graduate Degree,25342
L,25_34,female,asian,Graduate Degree,35704
E,25_34,female,asian,< Than HS Diploma,8543
K,55_64,female,hispanic,HS Diploma,11156
A,25_34,male,white,HS Diploma,331421
B,25_34,female,black,Bachelor Degree,52074
B,18_24,female,hispanic,Some College,84920
G,25_34,male,black,< Than HS Diploma,20530
J,35_44,male,asian,< Than HS Diploma,869
C,55_64,male,hispanic,< Than HS Diploma,105369
C,35_44,female,black,Some College,101653
F,45_54,female,islander,Some College,741
G,18_24,male,islander,Some College,590
A,25_34,male,white,Some College,341154
A,85_120,female,hispanic,< Than HS Diploma,52675
E,18_24,female,asian,HS Diploma,7498
K,65_74,male,hispanic,Bachelor Degree,1619
C,65_74,female,white,HS Diploma,668857
C,25_34,male,white,Bachelor Degree,93091
C,45_54,male,white,Some College,173923
K,55_64,male,white,Bachelor Degree,151327
F,45_54,male,hispanic,< Than HS Diploma,89104
F,75_84,male,white,Bachelor Degree,148047
H,25_34,male,hispanic,Some College,49696
G,18_24,male,asian,HS Diploma,3700
K,55_64,male,asian,Bachelor Degree,16843
H,75_84,female,black,Some College,3861
G,45_54,female,asian,HS Diploma,9517
G,35_44,male,hispanic,HS Diploma,45052
C,75_84,female,islander,Some College,88
H,35_44,female,black,Graduate Degree,13847
D,55_64,male,white,HS Diploma,593199
F,45_54,male,white,Bachelor Degree,320751
D,55_64,female,asian,Some College,10872
G,25_34,female,islander,Bachelor Degree,515
L,18_24,female,white,Some College,153208
A,35_44,male,black,Graduate Degree,19386
L,85_120,male,black,< Than HS Diploma,504
H,18_24,male,hispanic,Bachelor Degree,1340
J,18_24,male,asian,< Than HS Diploma,220
I,25_34,female,islander,HS Diploma,328
A,65_74,male,hispanic,< Than HS Diploma,62755
H,45_54,male,hispanic,Bachelor Degree,16667
A,25_34,female,black,< Than HS Diploma,162954
D,65_74,female,islander,< Than HS Diploma,90
K,75_84,female,white,Bachelor Degree,35950
D,85_120,male,black,Bachelor Degree,5837
G,65_74,male,hispanic,Bachelor Degree,7128
L,45_54,male,black,< Than HS Diploma,2231
J,85_120,male,hispanic,HS Diploma,431
B,25_34,female,white,< Than HS Diploma,198218
C,25_34,female,hispanic,< Than HS Diploma,490292
H,65_74,male,hispanic,HS Diploma,8162
A,55_64,female,asian,Graduate Degree,4444
E,35_44,male,asian,Some College,68202
E,45_54,female,asian,< Than HS Diploma,3454
C,75_84,female,islander,Bachelor Degree,55
G,18_24,male,asian,Some College,19600
G,85_120,female,asian,HS Diploma,1351
D,25_34,male,islander,Bachelor Degree,183
K,65_74,male,black,Some College,1419
D,35_44,male,islander,HS Diploma,158
G,55_64,male,white,Some College,395419
G,35_44,male,white,Graduate Degree,123209
D,65_74,female,hispanic,Some College,20134
F,25_34,male,asian,Some College,69359
G,85_120,female,hispanic,Some College,777
K,35_44,male,islander,Some College,145
K,85_120,male,hispanic,Bachelor Degree,200
G,65_74,female,black,HS Diploma,21369
H,45_54,female,black,HS Diploma,36678
D,35_44,male,hispanic,Some College,67012
F,55_64,female,asian,Some College,16465
B,35_44,female,islander,Graduate Degree,68
C,25_34,male,islander,Some College,504
G,45_54,male,white,Graduate Degree,145827
C,35_44,female,white,Some College,265822
D,45_54,female,black,Bachelor Degree,37099
G,18_24,female,black,< Than HS Diploma,6822
B,75_84,male,hispanic,< Than HS Diploma,67452
G,75_84,male,black,Bachelor Degree,5212
I,75_84,female,black,Graduate Degree,1929
G,65_74,male,black,HS Diploma,17105
E,25_34,male,islander,HS Diploma,1247
G,75_84,male,white,Bachelor Degree,104047
C,75_84,male,hispanic,< Than HS Diploma,77396
H,55_64,male,hispanic,Graduate Degree,14881
H,18_24,female,black,HS Diploma,11400
L,35_44,male,hispanic,Bachelor Degree,13213
A,18_24,male,hispanic,Graduate Degree,1899
E,75_84,female,islander,Bachelor Degree,57
E,35_44,female,white,Some College,765798
H,45_54,male,white,Bachelor Degree,354908
D,45_54,female,black,HS Diploma,137139
B,35_44,male,hispanic,HS Diploma,26871
D,55_64,male,asian,< Than HS Diploma,2658
G,85_120,male,hispanic,Some College,726
K,65_74,male,asian,< Than HS Diploma,240
A,55_64,female,black,Graduate Degree,23129
E,85_120,female,black,Some College,10292
D,65_74,male,islander,HS Diploma,257
K,18_24,female,islander,HS Diploma,33
B,75_84,female,white,< Than HS Diploma,348570
G,65_74,male,white,HS Diploma,194806
F,25_34,male,black,Bachelor Degree,70235
I,45_54,male,black,Some College,14131
J,75_84,male,asian,HS Diploma,1016
F,65_74,male,asian,Some College,9623
H,85_120,male,hispanic,< Than HS Diploma,3355
C,85_120,female,islander,HS Diploma,139
D,18_24,male,hispanic,Some College,90457
B,65_74,female,white,Bachelor Degree,96083
L,35_44,female,black,Graduate Degree,6349
I,35_44,male,black,< Than HS Diploma,1560
H,85_120,male,islander,HS Diploma,9
D,35_44,male,hispanic,Bachelor Degree,19204
B,85_120,male,black,HS Diploma,27452
A,65_74,male,black,HS Diploma,64372
I,55_64,male,white,< Than HS Diploma,11464
H,75_84,female,hispanic,Bachelor Degree,1085
L,65_74,male,hispanic,Some College,3938
L,85_120,male,islander,HS Diploma,11
L,75_84,male,white,Bachelor Degree,79878
K,35_44,male,white,Graduate Degree,56641
A,25_34,male,asian,Some College,19186
L,75_84,female,hispanic,Some College,1945
D,18_24,male,islander,Some College,433
F,25_34,male,hispanic,Some College,143975
G,55_64,female,hispanic,< Than HS Diploma,47588
B,35_44,female,hispanic,< Than HS Diploma,192071
B,55_64,female,hispanic,Bachelor Degree,7559
L,75_84,male,black,Some College,1811
F,25_34,male,islander,Some College,1866
J,55_64,female,asian,< Than HS Diploma,605
H,75_84,female,islander,Some College,70
E,55_64,male,white,Bachelor Degree,383313
L,35_44,female,hispanic,Some College,17556
J,25_34,male,black,Some College,14775
I,75_84,female,white,Graduate Degree,32619
J,75_84,male,black,Bachelor Degree,1133
K,55_64,female,islander,Graduate Degree,51
A,35_44,male,white,Graduate Degree,51733
E,25_34,male,black,Bachelor Degree,97016
H,65_74,female,white,Bachelor Degree,102007
I,55_64,female,black,Bachelor Degree,7066
K,35_44,male,white,HS Diploma,23080
K,18_24,female,islander,Some College,132
L,85_120,female,islander,Bachelor Degree,11
E,75_84,female,islander,< Than HS Diploma,92
J,18_24,female,islander,< Than HS Diploma,13
L,45_54,female,white,Bachelor Degree,247102
B,45_54,male,hispanic,Some College,10578
D,35_44,female,white,< Than HS Diploma,64953
L,35_44,male,black,Some College,10080
D,55_64,female,white,Some College,409196
I,65_74,female,black,Bachelor Degree,5988
