income_code,age_range,gender,ethnicity,education,population
C,65_74,male,white,< Than HS Diploma,107237
C,75_84,female,black,Bachelor Degree,14025
J,55_64,male,black,HS Diploma,10135
I,45_54,female,islander,HS Diploma,73
L,18_24,male,hispanic,HS Diploma,5683
B,45_54,female,islander,HS Diploma,319
G,85_120,female,islander,HS Diploma,35
D,55_64,male,black,HS Diploma,141225
H,75_84,female,white,Some College,57871
E,35_44,female,black,< Than HS Diploma,23544
H,18_24,male,black,Bachelor Degree,4149
J,25_34,female,islander,HS Diploma,273
D,35_44,male,black,HS Diploma,52747
A,55_64,female,asian,HS Diploma,15316
J,65_74,male,asian,Bachelor Degree,3399
A,35_44,female,white,HS Diploma,307527
E,35_44,male,white,Bachelor Degree,644420
C,85_120,male,black,HS Diploma,29561
E,35_44,male,asian,HS Diploma,38203
D,85_120,female,white,Some College,160417
G,55_64,female,black,Bachelor Degree,27832
H,85_120,male,white,Graduate Degree,16731
J,55_64,male,hispanic,Some College,9016
C,35_44,male,hispanic,Bachelor Degree,7278
G,65_74,male,islander,Some College,123
C,55_64,female,black,HS Diploma,165088
J,45_54,male,asian,Graduate Degree,24202
H,25_34,female,islander,Bachelor Degree,310
A,18_24,male,islander,Graduate Degree,22
I,85_120,female,islander,Graduate Degree,7
A,35_44,female,hispanic,Graduate Degree,10721
B,75_84,male,black,Bachelor Degree,6263
K,65_74,male,black,HS Diploma,1665
D,45_54,female,islander,HS Diploma,418
L,75_84,male,black,< Than HS Diploma,1309
B,45_54,female,white,HS Diploma,405968
G,35_44,male,hispanic,Some College,60665
E,18_24,male,white,Bachelor Degree,102896
E,45_54,male,black,Some College,214876
A,18_24,male,hispanic,< Than HS Diploma,80095
K,65_74,female,hispanic,< Than HS Diploma,2974
D,75_84,female,islander,Some College,165
E,65_74,female,asian,Bachelor Degree,32072
C,35_44,male,black,Bachelor Degree,20812
K,18_24,male,asian,< Than HS Diploma,169
F,65_74,female,white,Some College,314237
A,65_74,female,white,Bachelor Degree,90180
K,65_74,male,white,HS Diploma,19815
K,85_120,male,white,< Than HS Diploma,1989
J,65_74,female,black,< Than HS Diploma,1065
L,65_74,male,hispanic,< Than HS Diploma,5452
C,65_74,female,islander,HS Diploma,266
G,45_54,female,asian,Some College,15668
A,45_54,female,black,< Than HS Diploma,88037
F,75_84,male,white,Some College,219930
G,55_64,female,hispanic,Graduate Degree,16082
H,35_44,female,islander,Some College,623
B,18_24,male,hispanic,Some College,44187
K,35_44,male,islander,HS Diploma,29
E,85_120,male,islander,Bachelor Degree,13
E,45_54,female,hispanic,< Than HS Diploma,95130
J,45_54,male,asian,Bachelor Degree,30408
I,75_84,female,black,Some College,2431
K,18_24,female,black,Bachelor Degree,2376
G,75_84,female,islander,Bachelor Degree,35
D,75_84,male,white,HS Diploma,561891
E,18_24,female,black,Some College,157318
H,65_74,male,white,Bachelor Degree,76529
F,18_24,female,asian,Bachelor Degree,11352
C,25_34,male,hispanic,Some College,55077
E,35_44,male,black,Graduate Degree,36859
E,18_24,male,black,< Than HS Diploma,33029
F,65_74,female,asian,< Than HS Diploma,1729
L,45_54,male,islander,Bachelor Degree,141
I,45_54,male,islander,HS Diploma,48
I,35_44,female,black,Bachelor Degree,21701
K,18_24,male,asian,Bachelor Degree,7737
J,45_54,female,black,Graduate Degree,10424
J,85_120,male,white,HS Diploma,9513
G,55_64,female,asian,HS Diploma,9671
K,18_24,female,white,Some College,124005
G,65_74,female,asian,Graduate Degree,4825
J,75_84,male,hispanic,< Than HS Diploma,3617
F,85_120,female,islander,Bachelor Degree,26
L,35_44,male,islander,< Than HS Diploma,7
F,75_84,female,white,Bachelor Degree,139322
L,35_44,female,asian,Some College,11572
C,35_44,male,asian,Some College,14049
F,18_24,male,islander,Graduate Degree,59
L,35_44,male,islander,HS Diploma,55
J,35_44,female,asian,Bachelor Degree,27282
J,35_44,male,white,Graduate Degree,44961
D,35_44,male,asian,Some College,30175
E,65_74,male,hispanic,Bachelor Degree,13510
K,18_24,female,white,Graduate Degree,18374
F,35_44,female,black,HS Diploma,55469
I,25_34,male,hispanic,Bachelor Degree,5540
C,35_44,male,hispanic,Graduate Degree,5364
A,55_64,male,asian,< Than HS Diploma,3417
H,85_120,male,asian,Some College,691
G,65_74,male,islander,Graduate Degree,59
I,45_54,female,white,HS Diploma,65226
H,85_120,male,white,HS Diploma,15910
D,75_84,male,hispanic,HS Diploma,17805
D,18_24,female,white,Graduate Degree,36018
K,45_54,male,asian,< Than HS Diploma,524
D,55_64,female,islander,< Than HS Diploma,44
B,85_120,male,hispanic,< Than HS Diploma,37600
A,25_34,female,white,< Than HS Diploma,224336
A,25_34,male,black,HS Diploma,115091
H,25_34,male,white,< Than HS Diploma,61076
G,25_34,male,islander,HS Diploma,612
C,85_120,female,white,HS Diploma,462145
E,45_54,female,hispanic,Graduate Degree,20145
G,25_34,female,asian,Bachelor Degree,91432
A,18_24,male,black,Bachelor Degree,11295
E,18_24,female,black,Graduate Degree,11530
B,18_24,male,asian,HS Diploma,2345
I,25_34,male,islander,HS Diploma,178
H,18_24,female,white,< Than HS Diploma,13233
D,35_44,female,asian,Bachelor Degree,30235
E,65_74,female,asian,< Than HS Diploma,3927
C,35_44,male,asian,HS Diploma,11394
H,55_64,male,hispanic,Bachelor Degree,8864
E,65_74,male,islander,< Than HS Diploma,99
K,35_44,female,islander,HS Diploma,33
L,18_24,female,islander,HS Diploma,33
L,25_34,female,white,< Than HS Diploma,18823
K,25_34,male,black,Graduate Degree,10476
